Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Annotation Count Gene Protein-coding
GCA_023162625.1	ASM2316262v1	Vibrio cholerae		RIMD 2214363					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3826438	Contig	2022-04-05	BODH01	3336
GCA_023162645.1	ASM2316264v1	Vibrio cholerae		RIMD 2214364					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3842000	Contig	2022-04-05	BODI01	3386
GCA_023162665.1	ASM2316266v1	Vibrio cholerae		RIMD 2214365					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3892753	Contig	2022-04-05	BODJ01	3422
GCA_023162685.1	ASM2316268v1	Vibrio cholerae		RIMD 2214366					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4110553	Contig	2022-04-05	BODK01	3598
GCA_023162705.1	ASM2316270v1	Vibrio cholerae		RIMD 2214367					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3863158	Contig	2022-04-05	BODL01	3378
GCA_023162725.1	ASM2316272v1	Vibrio cholerae		RIMD 2214251					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3925415	Contig	2022-04-05	BODM01	3455
GCA_023162745.1	ASM2316274v1	Vibrio cholerae		RIMD 2214368					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3971411	Scaffold	2022-04-05	BODN01	3543
GCA_023162765.1	ASM2316276v1	Vibrio cholerae		RIMD 2214369					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3930687	Contig	2022-04-05	BODO01	3430
GCA_023162785.1	ASM2316278v1	Vibrio cholerae		RIMD 2214370					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3921873	Contig	2022-04-05	BODP01	3431
GCA_023162805.1	ASM2316280v1	Vibrio cholerae		RIMD 2214371					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3918975	Contig	2022-04-05	BODQ01	3432
GCA_023162825.1	ASM2316282v1	Vibrio cholerae		RIMD 2214372					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3925698	Contig	2022-04-05	BODR01	3432
GCA_023162845.1	ASM2316284v1	Vibrio cholerae		RIMD 2214374					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4331761	Contig	2022-04-06	BODS01	3947
GCA_023162865.1	ASM2316286v1	Vibrio cholerae		RIMD 2214375					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4059008	Contig	2022-04-05	BODT01	3526
GCA_023162885.1	ASM2316288v1	Vibrio cholerae		RIMD 2214377					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3988121	Contig	2022-04-05	BODU01	3510
GCA_023162905.1	ASM2316290v1	Vibrio cholerae		RIMD 2214252					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3983718	Contig	2022-04-05	BODV01	3509
GCA_023162925.1	ASM2316292v1	Vibrio cholerae		RIMD 2214378					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3999581	Contig	2022-04-05	BODW01	3557
GCA_023162945.1	ASM2316294v1	Vibrio cholerae		RIMD 2214379					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4064748	Contig	2022-04-05	BODX01	3610
GCA_023162965.1	ASM2316296v1	Vibrio cholerae		RIMD 2214380					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4009917	Contig	2022-04-05	BODY01	3504
GCA_023162985.1	ASM2316298v1	Vibrio cholerae		RIMD 2214382					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4016812	Contig	2022-04-05	BODZ01	3501
GCA_023163005.1	ASM2316300v1	Vibrio cholerae		RIMD 2214383					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4059565	Contig	2022-04-05	BOEA01	3563
GCA_023163025.1	ASM2316302v1	Vibrio cholerae		RIMD 2214384					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4056008	Contig	2022-04-05	BOEB01	3559
GCA_023163045.1	ASM2316304v1	Vibrio cholerae		RIMD 2214385					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4010832	Contig	2022-04-05	BOEC01	3539
GCA_023163065.1	ASM2316306v1	Vibrio cholerae		RIMD 2214386					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3935335	Contig	2022-04-05	BOED01	3432
GCA_023163085.1	ASM2316308v1	Vibrio cholerae		RIMD 2214387					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4038935	Contig	2022-04-05	BOEE01	3515
GCA_023163105.1	ASM2316310v1	Vibrio cholerae		RIMD 2214388					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4029086	Contig	2022-04-05	BOEF01	3553
GCA_023163125.1	ASM2316312v1	Vibrio cholerae		RIMD 2214389					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4012225	Contig	2022-04-05	BOEG01	3490
GCA_023163145.1	ASM2316314v1	Vibrio cholerae		RIMD 2214390					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3898836	Contig	2022-04-05	BOEH01	3419
GCA_023163165.1	ASM2316316v1	Vibrio cholerae		RIMD 2214391					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4105908	Contig	2022-04-05	BOEI01	3613
GCA_023163185.1	ASM2316318v1	Vibrio metoecus		RIMD 2214392					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3915320	Scaffold	2022-04-05	BOEJ01	3442
GCA_023163205.1	ASM2316320v1	Vibrio cholerae		RIMD 2214393					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3971042	Contig	2022-04-05	BOEK01	3440
GCA_023163225.1	ASM2316322v1	Vibrio cholerae		RIMD 2214394					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3885115	Contig	2022-04-05	BOEL01	3415
GCA_023163245.1	ASM2316324v1	Vibrio cholerae		RIMD 2214395					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3988151	Contig	2022-04-05	BOEM01	3505
GCA_023163265.1	ASM2316326v1	Vibrio cholerae		RIMD 2214396					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4002718	Contig	2022-04-05	BOEN01	3535
GCA_023163285.1	ASM2316328v1	Vibrio cholerae		RIMD 2214362					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3819971	Scaffold	2022-04-05	BODG01	3347
GCA_023163305.1	ASM2316330v1	Vibrio cholerae		RIMD 2214361					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3957145	Contig	2022-04-05	BODF01	3502
GCA_023163325.1	ASM2316332v1	Vibrio cholerae		RIMD 2214360					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3974133	Contig	2022-04-05	BODE01	3517
GCA_023163345.1	ASM2316334v1	Vibrio cholerae		RIMD 2214359					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3952658	Contig	2022-04-05	BODD01	3492
GCA_023163365.1	ASM2316336v1	Vibrio cholerae		RIMD 2214358					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3978889	Contig	2022-04-05	BODC01	3510
GCA_023163385.1	ASM2316338v1	Vibrio cholerae		RIMD 2214250					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4084750	Contig	2022-04-05	BODB01	3601
GCA_023163405.1	ASM2316340v1	Vibrio cholerae		RIMD 2214357					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4214473	Contig	2022-04-06	BODA01	3734
GCA_023163425.1	ASM2316342v1	Vibrio cholerae		RIMD 2214356					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4105205	Contig	2022-04-05	BOCZ01	3591
GCA_023163445.1	ASM2316344v1	Vibrio cholerae		RIMD 2214351					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3932488	Contig	2022-04-05	BOCY01	3440
GCA_023163465.1	ASM2316346v1	Vibrio cholerae		RIMD 2214350					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4012394	Contig	2022-04-05	BOCX01	3522
GCA_023163485.1	ASM2316348v1	Vibrio cholerae		RIMD 2214349					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3966089	Contig	2022-04-05	BOCW01	3512
GCA_023163505.1	ASM2316350v1	Vibrio cholerae		RIMD 2214348					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4077410	Contig	2022-04-05	BOCV01	3589
GCA_023163525.1	ASM2316352v1	Vibrio cholerae		RIMD 2214249					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4061386	Contig	2022-04-05	BOCU01	3612
GCA_023163545.1	ASM2316354v1	Vibrio cholerae		RIMD 2214347					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4000899	Contig	2022-04-05	BOCT01	3545
GCA_023163565.1	ASM2316356v1	Vibrio cholerae		RIMD 2214346					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3867352	Contig	2022-04-05	BOCS01	3392
GCA_023163585.1	ASM2316358v1	Vibrio cholerae		RIMD 2214345					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4038766	Contig	2022-04-05	BOCR01	3529
GCA_023163605.1	ASM2316360v1	Vibrio cholerae		RIMD 2214344					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4098542	Contig	2022-04-05	BOCQ01	3585
GCA_023163625.1	ASM2316362v1	Vibrio cholerae		RIMD 2214343					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4110609	Contig	2022-04-06	BOCP01	3658
GCA_023163645.1	ASM2316364v1	Vibrio cholerae		RIMD 2214342					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4101589	Contig	2022-04-05	BOCO01	3632
GCA_023163665.1	ASM2316366v1	Vibrio cholerae		RIMD 2214341					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4088940	Contig	2022-04-05	BOCN01	3611
GCA_023163685.1	ASM2316368v1	Vibrio cholerae		RIMD 2214338					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4064541	Contig	2022-04-05	BOCM01	3615
GCA_023163705.1	ASM2316370v1	Vibrio cholerae		RIMD 2214248					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4135023	Contig	2022-04-05	BOCL01	3620
GCA_023163725.1	ASM2316372v1	Vibrio cholerae		RIMD 2214459					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4032515	Contig	2022-04-05	BOCK01	3613
GCA_023163745.1	ASM2316374v1	Vibrio cholerae		RIMD 2214458					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4032141	Contig	2022-04-05	BOCJ01	3610
GCA_023163765.1	ASM2316376v1	Vibrio cholerae		RIMD 2214397					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4076450	Contig	2022-04-05	BOEO01	3567
GCA_023163785.1	ASM2316378v1	Vibrio cholerae		RIMD 2214254					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4030792	Contig	2022-04-05	BOEP01	3561
GCA_023163805.1	ASM2316380v1	Vibrio cholerae		RIMD 2214398					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4310976	Contig	2022-04-06	BOEQ01	3814
GCA_023163825.1	ASM2316382v1	Vibrio cholerae		RIMD 2214399					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4095485	Contig	2022-04-06	BOER01	3636
GCA_023163845.1	ASM2316384v1	Vibrio cholerae		RIMD 2214401					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4112438	Contig	2022-04-05	BOES01	3607
GCA_023163865.1	ASM2316386v1	Vibrio cholerae		RIMD 2214402					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3942219	Contig	2022-04-05	BOET01	3458
GCA_023163885.1	ASM2316388v1	Vibrio cholerae		RIMD 2214403					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4059192	Contig	2022-04-05	BOEU01	3557
GCA_023163905.1	ASM2316390v1	Vibrio cholerae		RIMD 2214404					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3923242	Contig	2022-04-05	BOEV01	3436
GCA_023163925.1	ASM2316392v1	Vibrio cholerae		RIMD 2214406					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3944908	Contig	2022-04-05	BOEW01	3445
GCA_023163945.1	ASM2316394v1	Vibrio cholerae		RIMD 2214407					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3956468	Contig	2022-04-05	BOEX01	3458
GCA_023163965.1	ASM2316396v1	Vibrio cholerae		RIMD 2214408					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3922469	Contig	2022-04-05	BOEY01	3435
GCA_023163985.1	ASM2316398v1	Vibrio cholerae		RIMD 2214409					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3873476	Contig	2022-04-05	BOEZ01	3387
GCA_023164005.1	ASM2316400v1	Vibrio cholerae		RIMD 2214410					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3907394	Contig	2022-04-05	BOFA01	3424
GCA_023164025.1	ASM2316402v1	Vibrio cholerae		RIMD 2214411					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3890570	Contig	2022-04-05	BOFB01	3395
GCA_023164045.1	ASM2316404v1	Vibrio cholerae		RIMD 2214412					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4014642	Contig	2022-04-05	BOFC01	3540
GCA_023164065.1	ASM2316406v1	Vibrio cholerae		RIMD 2214413					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3886949	Contig	2022-04-05	BOFD01	3421
GCA_023164085.1	ASM2316408v1	Vibrio cholerae		RIMD 2214414					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3941805	Contig	2022-04-05	BOFE01	3457
GCA_023164105.1	ASM2316410v1	Vibrio cholerae		RIMD 2214415					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4068734	Contig	2022-04-05	BOFF01	3570
GCA_023164125.1	ASM2316412v1	Vibrio cholerae		RIMD 2214416					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3951397	Contig	2022-04-05	BOFG01	3461
GCA_023164145.1	ASM2316414v1	Vibrio cholerae		RIMD 2214417					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3990575	Contig	2022-04-05	BOFH01	3488
GCA_023164165.1	ASM2316416v1	Vibrio cholerae		RIMD 2214256					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3887080	Contig	2022-04-05	BOFI01	3367
GCA_023164185.1	ASM2316418v1	Vibrio cholerae		RIMD 2214418					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4109508	Contig	2022-04-06	BOFJ01	3645
GCA_023164205.1	ASM2316420v1	Vibrio cholerae		RIMD 2214419					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4044493	Contig	2022-04-05	BOFK01	3607
GCA_023164225.1	ASM2316422v1	Vibrio cholerae		RIMD 2214420					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3865856	Contig	2022-04-05	BOFL01	3374
GCA_023164245.1	ASM2316424v1	Vibrio cholerae		RIMD 2214421					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3934333	Contig	2022-04-05	BOFM01	3463
GCA_023164265.1	ASM2316426v1	Vibrio cholerae		RIMD 2214422					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4086146	Contig	2022-04-05	BOFN01	3598
GCA_023164285.1	ASM2316428v1	Vibrio cholerae		RIMD 2214423					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4053741	Contig	2022-04-05	BOFO01	3568
GCA_023164305.1	ASM2316430v1	Vibrio cholerae		RIMD 2214424					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3967087	Contig	2022-04-05	BOFP01	3483
GCA_023164325.1	ASM2316432v1	Vibrio cholerae		RIMD 2214425					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4120598	Contig	2022-04-05	BOFQ01	3628
GCA_023164345.1	ASM2316434v1	Vibrio cholerae		RIMD 2214426					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4142821	Contig	2022-04-06	BOFR01	3648
GCA_023164365.1	ASM2316436v1	Vibrio cholerae		RIMD 2214257					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4119352	Contig	2022-04-05	BOFS01	3614
GCA_023164385.1	ASM2316438v1	Vibrio cholerae		RIMD 2214428					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4006408	Contig	2022-04-05	BOFT01	3525
GCA_023164405.1	ASM2316440v1	Vibrio cholerae		RIMD 2214429					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3935920	Contig	2022-04-05	BOFU01	3442
GCA_023164425.1	ASM2316442v1	Vibrio cholerae		RIMD 2214430					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3965184	Contig	2022-04-05	BOFV01	3461
GCA_023164445.1	ASM2316444v1	Vibrio cholerae		RIMD 2214431					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3974417	Contig	2022-04-05	BOFW01	3497
GCA_023164505.1	ASM2316450v1	Vibrio cholerae		RIMD 2214434					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3944939	Contig	2022-04-05	BOFX01	3457
GCA_023164585.1	ASM2316458v1	Vibrio cholerae		RIMD 2214435					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3918727	Contig	2022-04-05	BOFY01	3435
GCA_023164705.1	ASM2316470v1	Vibrio cholerae		RIMD 2214436					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4016698	Contig	2022-04-05	BOFZ01	3524
GCA_023164765.1	ASM2316476v1	Vibrio cholerae		RIMD 2214437					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4024949	Contig	2022-04-05	BOGA01	3542
GCA_023164785.1	ASM2316478v1	Vibrio cholerae		RIMD 2214240					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4034085	Contig	2022-04-05	BOGB01	3587
GCA_023164805.1	ASM2316480v1	Vibrio cholerae		RIMD 2214438					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3921914	Contig	2022-04-05	BOGC01	3447
GCA_023164825.1	ASM2316482v1	Vibrio cholerae		RIMD 2214442					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3931014	Contig	2022-04-05	BOGD01	3396
GCA_023164845.1	ASM2316484v1	Vibrio cholerae		RIMD 2214443					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4233790	Contig	2022-04-06	BOGE01	3773
GCA_023164865.1	ASM2316486v1	Vibrio cholerae		RIMD 2214444					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3924088	Contig	2022-04-05	BOGF01	3418
GCA_023164885.1	ASM2316488v1	Vibrio cholerae		RIMD 2214446					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3928683	Contig	2022-04-05	BOGG01	3470
GCA_023164905.1	ASM2316490v1	Vibrio cholerae		RIMD 2214447					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3965782	Contig	2022-04-05	BOGH01	3478
GCA_023164925.1	ASM2316492v1	Vibrio cholerae		RIMD 2214448					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4177389	Contig	2022-04-06	BOGI01	3683
GCA_023164945.1	ASM2316494v1	Vibrio cholerae		RIMD 2214259					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4025861	Contig	2022-04-05	BOGJ01	3531
GCA_023164965.1	ASM2316496v1	Vibrio cholerae		RIMD 2214260					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4119711	Contig	2022-04-06	BOGK01	3628
GCA_023164985.1	ASM2316498v1	Vibrio cholerae		RIMD 2214261					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3930336	Contig	2022-04-05	BOGL01	3458
GCA_023165005.1	ASM2316500v1	Vibrio cholerae		RIMD 2214262					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	4065423	Contig	2022-04-05	BOGM01	3554
GCA_023165025.1	ASM2316502v1	Vibrio cholerae		RIMD 2214263					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3988090	Contig	2022-04-05	BOGN01	3499
GCA_023165045.1	ASM2316504v1	Vibrio cholerae		RIMD 2214264					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3880430	Contig	2022-04-05	BOGO01	3400
GCA_023165065.1	ASM2316506v1	Vibrio cholerae		RIMD 2214265					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3946445	Contig	2022-04-05	BOGP01	3544
GCA_023165085.1	ASM2316508v1	Vibrio cholerae		RIMD 2214266					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3900943	Contig	2022-04-05	BOGQ01	3401
GCA_023165105.1	ASM2316510v1	Vibrio cholerae		RIMD 2214267					Annotation submitted by Department of Microbiology, Graduate School of Medicine, Kyoto University	3896046	Contig	2022-04-05	BOGR01	3423
